"","yr","mm","dd","hr","mn","wdir_deg_t","wspd_m_s","pres_h_pa","atmp_deg_c","wtmp_deg_c","date","submission_id","common_name","scientific_name","taxonomic_order","count","state_province","county","location_id","location","latitude","longitude","time","protocol","duration_min","all_obs_reported","distance_traveled_km","area_covered_ha","number_of_observers","breeding_code","observation_details","checklist_comments","ml_catalog_numbers","wspd_mph","beaufort_ws","comp_dir","day_time","count2"
"1",2015,11,"01","06","07",NA,2.6,1019.1,15.7,15.9,2015-11-01,"S34575064","Surf Scoter","Melanitta perspicillata",703,102,"US-CA","Monterey","L109309","Pt. Pinos--seawatch only",36.6373821,-121.9357538,06:30:00,"eBird - Stationary Count",30,1,NA,NA,2,NA,NA,"BS <br />Submitted from eBird for iOS, version 1.1.3 Build 30",NA,5.8162,"2",NA,2015-11-01 06:00:00,102
"2",2015,11,"01","07","07",NA,4.1,1019.2,15.2,15.9,2015-11-01,"S34575063","Surf Scoter","Melanitta perspicillata",703,50,"US-CA","Monterey","L109309","Pt. Pinos--seawatch only",36.6373821,-121.9357538,07:00:00,"eBird - Stationary Count",60,1,NA,NA,2,NA,NA,"BS <br />Submitted from eBird for iOS, version 1.1.3 Build 30",NA,9.1717,"3",NA,2015-11-01 07:00:00,50
"3",2015,11,"01","07","07",NA,4.1,1019.2,15.2,15.9,2015-11-01,"S34575063","Pacific Loon","Gavia pacifica",6852,4,"US-CA","Monterey","L109309","Pt. Pinos--seawatch only",36.6373821,-121.9357538,07:00:00,"eBird - Stationary Count",60,1,NA,NA,2,NA,NA,"BS <br />Submitted from eBird for iOS, version 1.1.3 Build 30",NA,9.1717,"3",NA,2015-11-01 07:00:00,4
"4",2015,11,"01","08","07",NA,7.2,1018.9,15.6,15.9,2015-11-01,"S34575065","Surf Scoter","Melanitta perspicillata",703,74,"US-CA","Monterey","L109309","Pt. Pinos--seawatch only",36.6373821,-121.9357538,08:00:00,"eBird - Stationary Count",60,1,NA,NA,2,NA,NA,"Vis declined to outer rocks @ 9:19; vis out to buoy @ 9:40; BS <br />Submitted from eBird for iOS, version 1.1.3 Build 30",NA,16.1064,"4",NA,2015-11-01 08:00:00,74
"5",2015,11,"01","08","07",NA,7.2,1018.9,15.6,15.9,2015-11-01,"S34575065","Pacific Loon","Gavia pacifica",6852,4,"US-CA","Monterey","L109309","Pt. Pinos--seawatch only",36.6373821,-121.9357538,08:00:00,"eBird - Stationary Count",60,1,NA,NA,2,NA,NA,"Vis declined to outer rocks @ 9:19; vis out to buoy @ 9:40; BS <br />Submitted from eBird for iOS, version 1.1.3 Build 30",NA,16.1064,"4",NA,2015-11-01 08:00:00,4
"6",2015,11,"01","09","07",NA,3.1,1019.2,15.2,999,2015-11-01,"S34575066","Surf Scoter","Melanitta perspicillata",703,56,"US-CA","Monterey","L109309","Pt. Pinos--seawatch only",36.6373821,-121.9357538,09:00:00,"eBird - Stationary Count",60,1,NA,NA,2,NA,NA,"vis superb by end of hour; BS <br />Submitted from eBird for iOS, version 1.1.3 Build 30",NA,6.9347,"2",NA,2015-11-01 09:00:00,56
"7",2015,11,"01","09","07",NA,3.1,1019.2,15.2,999,2015-11-01,"S34575066","Red-throated Loon","Gavia stellata",6848,3,"US-CA","Monterey","L109309","Pt. Pinos--seawatch only",36.6373821,-121.9357538,09:00:00,"eBird - Stationary Count",60,1,NA,NA,2,NA,NA,"vis superb by end of hour; BS <br />Submitted from eBird for iOS, version 1.1.3 Build 30",NA,6.9347,"2",NA,2015-11-01 09:00:00,3
"8",2015,11,"01","09","07",NA,3.1,1019.2,15.2,999,2015-11-01,"S34575066","Pacific Loon","Gavia pacifica",6852,12,"US-CA","Monterey","L109309","Pt. Pinos--seawatch only",36.6373821,-121.9357538,09:00:00,"eBird - Stationary Count",60,1,NA,NA,2,NA,NA,"vis superb by end of hour; BS <br />Submitted from eBird for iOS, version 1.1.3 Build 30",NA,6.9347,"2",NA,2015-11-01 09:00:00,12
"9",2015,11,"01","10","07",NA,1.5,1018.6,14.6,15.9,2015-11-01,"S34575067","Surf Scoter","Melanitta perspicillata",703,24,"US-CA","Monterey","L109309","Pt. Pinos--seawatch only",36.6373821,-121.9357538,10:00:00,"eBird - Stationary Count",60,1,NA,NA,2,NA,NA,"<br />Submitted from eBird for iOS, version 1.1.3 Build 30",NA,3.3555,"2",NA,2015-11-01 10:00:00,24
"10",2015,11,"01","10","07",NA,1.5,1018.6,14.6,15.9,2015-11-01,"S34575067","Red-throated Loon","Gavia stellata",6848,1,"US-CA","Monterey","L109309","Pt. Pinos--seawatch only",36.6373821,-121.9357538,10:00:00,"eBird - Stationary Count",60,1,NA,NA,2,NA,NA,"<br />Submitted from eBird for iOS, version 1.1.3 Build 30",NA,3.3555,"2",NA,2015-11-01 10:00:00,1
"11",2015,11,"01","10","07",NA,1.5,1018.6,14.6,15.9,2015-11-01,"S34575067","Pacific Loon","Gavia pacifica",6852,5,"US-CA","Monterey","L109309","Pt. Pinos--seawatch only",36.6373821,-121.9357538,10:00:00,"eBird - Stationary Count",60,1,NA,NA,2,NA,NA,"<br />Submitted from eBird for iOS, version 1.1.3 Build 30",NA,3.3555,"2",NA,2015-11-01 10:00:00,5
